"ProductID";"BrandID";"SubCategoryID";"ProductName";"ProductDescription";"UnitPrice"
1;6;1;"Rock Rider";"29er Mountainbike für den Extermeinsatz in den Alpen";1990,00 €
2;6;1;"Air Rider";"Mountainbike";1190,00 €
3;10;1;"Fire Rider";"Mountainbike";799,00 €
4;7;1;"Water Rider";"Mountainbike";499,00 €
5;4;2;"Flash Vegas";"Rennrad mit Carbonrahmen";2990,00 €
6;6;2;"Firebird LA";"Rennrad mit Carbonrahmen";2499,00 €
7;12;2;"Lightning";"Rennrad mit Alurahmen";999,00 €
8;4;3;"Strike Aim";"Trekkingrad";1299,00 €
9;6;3;"Twin Glory";"Trekkingrad";899,00 €
10;6;4;"CROSS LX";"Crossrad";899,00 €
11;4;5;"ZB Cycling";"Cityrad";1099,00 €
12;4;5;"Street Bull";"Cityrad";799,00 €
13;7;5;"Ghost Town";"Cityrad";399,00 €
14;7;6;"Jumbi";"Kinder- und Jugendrad";119,00 €
15;10;6;"Monkey X";"Kinder- und Jugendrad";159,00 €
16;7;6;"Foxxy";"Kinder- und Jugendrad";99,00 €
17;4;7;"E-Energy";"E-Bike";4999,00 €
18;12;7;"Electro Road";"E-Bike";2299,00 €
19;7;8;"BMX ""CUBE""";"BMX";299,00 €
20;5;9;"Hercules Mikroschalenhelm";"Mikroschalenhelm";79,00 €
21;5;9;"Pegasus Mikroschalenhelm";"Mikroschalenhelm";129,00 €
22;7;9;"Zeus Mikroschalenhelm";"Mikroschalenhelm";39,00 €
23;6;9;"Hera Mikroschalenhelm";"Mikroschalenhelm";99,00 €
24;7;10;"Cloudera Hartschalenhelm";"Hartschalenhelm";49,00 €
25;6;10;"Poseidon Hartschalenhelm";"Hartschalenhelm";89,00 €
26;10;11;"Salomo Fullfacehelm";"Fullfacehelm";99,00 €
27;9;13;"Secure Kettenschloss";"Kettenschloss";25,00 €
28;12;13;"Protect Kettenschloss";"Kettenschloss";49,00 €
29;9;13;"Kinect Bügelschloss";"Bügelschloss";59,00 €
30;12;14;"Transit Faltschloss";"Faltschloss";49,00 €
31;9;15;"Hulk Panzer-Gliederschloss";"Panzer-Gliederschloss";15,00 €
32;12;15;"Stone Panzer-Gliederschloss";"Panzer-Gliederschloss";22,00 €
33;9;16;"Snake Spiral-Kabelschloss";"Spiral-Kabelschloss";9,00 €
34;12;16;"Anaconda Spiral-Kabelschloss";"Spiral-Kabelschloss";13,00 €
35;12;16;"Kobra Spiral-Kabelschloss";"Spiral-Kabelschloss";11,00 €
36;1;17;"Mailand Fahrradtrikot";"Fahrradtrikot";49,00 €
37;1;18;"Mailand Fahrradjacke";"Fahrradjacke";69,00 €
38;2;18;"Paris Fahrradjacke";"Fahrradjacke";99,00 €
39;1;19;"Mailand Fahrradhose";"Fahrradhose";59,00 €
40;2;19;"Paris Fahrradhose";"Fahrradhose";79,00 €
41;3;19;"Barcelona Fahrradhose";"Fahrradhose";19,00 €
42;1;20;"Mailand Fahrradschuh";"Fahrradschuh";49,00 €
43;2;20;"Paris Fahrradschuh";"Fahrradschuh";89,00 €
44;1;21;"Mailand Fahrradhandschuh";"Fahrradhandschuh";9,00 €
45;2;21;"Paris Fahrradhandschuh";"Fahrradhandschuh";15,00 €
46;3;21;"Barcelona Fahrradhandschuh";"Fahrradhandschuh";5,00 €
47;10;22;"Schutz Protektor";"Rumpfprotektor";179,00 €
48;8;22;"Kraft Protektor";"Protektor Ellenbogen und Knie";29,00 €
49;8;22;"Stärke Protektor";"Protektorset für Kinder";19,00 €
50;13;23;"Lightning LED vorne";"LED vorne";9,00 €
51;12;23;"Saphir LED vorne";"LED vorne";35,00 €
52;13;24;"Lightning LED set";"LED hinten";15,00 €
53;12;25;"Saphir LED hinten";"LED hinten";25,00 €
54;12;26;"Bernstein Stirnlampe";"Stirnlampe";25,00 €
55;15;27;"Basket Fahrradtasche";"Fahrradtasche für den Lenker";12,00 €
56;8;27;"X Kango Fahrradtasche";"Fahrradtasche Gepäckträger, wasserdicht";59,00 €
57;14;27;"Fahrradtasche";"Fahrradtasche Gepäckträger, wasserfest";46,00 €
58;15;28;"Fluid Trinkflasche";"Trinkflasche 500 ml aus PVC";4,95 €
59;11;28;"Sibirien small Thermotrinkflasche";"Thermotrinkflasche 500 ml";11,95 €
60;11;28;"Sibirien regular Thermotrinkflasche";"Thermotrinkflasche 750 ml";13,95 €
61;15;29;"Refresh Luftpumpe";"Luftpumpe";12,00 €
62;8;29;"Secondair Luftpumpe";"Luftpumpe";25,00 €
63;6;30;"ITelegance Fahrradcomputer";"Fahrradcomputer, Tachometer";14,00 €
64;6;30;"Ordinateur Fahrradcomputer";"Fahrradcomputer mit GPS und Tracking";39,00 €
